t,PR_AUC,Recall,FNR
9975,0.9779156783363165,0.9910714285714286,0.008928571428571428
9976,0.9779156783363165,0.9910714285714286,0.008928571428571428
9977,0.9779156783363165,0.9910714285714286,0.008928571428571428
9978,0.9779156783363165,0.9910714285714286,0.008928571428571428
9979,0.9779156783363165,0.9910714285714286,0.008928571428571428
9980,0.9779156783363165,0.9910714285714286,0.008928571428571428
9981,0.9779156783363165,0.9910714285714286,0.008928571428571428
9982,0.9779156783363165,0.9910714285714286,0.008928571428571428
9983,0.9779156783363165,0.9910714285714286,0.008928571428571428
9984,0.9779156783363165,0.9910714285714286,0.008928571428571428
9985,0.9779156783363165,0.9910714285714286,0.008928571428571428
9986,0.9779156783363165,0.9910714285714286,0.008928571428571428
9987,0.9779156783363165,0.9910714285714286,0.008928571428571428
9988,0.9779156783363165,0.9910714285714286,0.008928571428571428
9989,0.9779156783363165,0.9910714285714286,0.008928571428571428
9990,0.9779156783363165,0.9910714285714286,0.008928571428571428
9991,0.9779156783363165,0.9910714285714286,0.008928571428571428
9992,0.9779156783363165,0.9910714285714286,0.008928571428571428
9993,0.9779156783363165,0.9910714285714286,0.008928571428571428
9994,0.9779156783363165,0.9910714285714286,0.008928571428571428
9995,0.9779156783363165,0.9910714285714286,0.008928571428571428
9996,0.9779156783363165,0.9910714285714286,0.008928571428571428
9997,0.9779156783363165,0.9910714285714286,0.008928571428571428
9998,0.9779156783363165,0.9910714285714286,0.008928571428571428
9999,0.9779156783363165,0.9910714285714286,0.008928571428571428
10000,0.9779156783363165,0.9910714285714286,0.008928571428571428
10001,0.9779156783363165,0.9910714285714286,0.008928571428571428
10002,0.9779156783363165,0.9910714285714286,0.008928571428571428
10003,0.9779156783363165,0.9910714285714286,0.008928571428571428
10004,0.9779156783363165,0.9910714285714286,0.008928571428571428
10005,0.9779156783363165,0.9910714285714286,0.008928571428571428
10006,0.9779156783363165,0.9910714285714286,0.008928571428571428
10007,0.9779156783363165,0.9910714285714286,0.008928571428571428
10008,0.9779156783363165,0.9910714285714286,0.008928571428571428
10009,0.9779156783363165,0.9910714285714286,0.008928571428571428
10010,0.9779156783363165,0.9910714285714286,0.008928571428571428
10011,0.9779156783363165,0.9910714285714286,0.008928571428571428
10012,0.9779156783363165,0.9910714285714286,0.008928571428571428
10013,0.9779156783363165,0.9910714285714286,0.008928571428571428
10014,0.9779156783363165,0.9910714285714286,0.008928571428571428
10015,0.9779156783363165,0.9910714285714286,0.008928571428571428
10016,0.9779156783363165,0.9910714285714286,0.008928571428571428
10017,0.9779156783363165,0.9910714285714286,0.008928571428571428
10018,0.9779156783363165,0.9910714285714286,0.008928571428571428
10019,0.9779156783363165,0.9910714285714286,0.008928571428571428
10020,0.9779156783363165,0.9910714285714286,0.008928571428571428
10021,0.9779156783363165,0.9910714285714286,0.008928571428571428
10022,0.9779156783363165,0.9910714285714286,0.008928571428571428
10023,0.9779156783363165,0.9910714285714286,0.008928571428571428
10024,0.9779156783363165,0.9910714285714286,0.008928571428571428
10025,0.9779156783363165,0.9910714285714286,0.008928571428571428
10026,0.9779156783363165,0.9910714285714286,0.008928571428571428
10027,0.9779156783363165,0.9910714285714286,0.008928571428571428
10028,0.9779156783363165,0.9910714285714286,0.008928571428571428
10029,0.9779156783363165,0.9910714285714286,0.008928571428571428
10030,0.9779156783363165,0.9910714285714286,0.008928571428571428
10031,0.9779156783363165,0.9910714285714286,0.008928571428571428
10032,0.9779156783363165,0.9910714285714286,0.008928571428571428
10033,0.9779156783363165,0.9910714285714286,0.008928571428571428
10034,0.9779156783363165,0.9910714285714286,0.008928571428571428
10035,0.9779156783363165,0.9910714285714286,0.008928571428571428
10036,0.9779156783363165,0.9910714285714286,0.008928571428571428
10037,0.9779156783363165,0.9910714285714286,0.008928571428571428
10038,0.9779156783363165,0.9910714285714286,0.008928571428571428
10039,0.9779156783363165,0.9910714285714286,0.008928571428571428
10040,0.9779156783363165,0.9910714285714286,0.008928571428571428
10041,0.9779156783363165,0.9910714285714286,0.008928571428571428
10042,0.9779156783363165,0.9910714285714286,0.008928571428571428
10043,0.9779156783363165,0.9910714285714286,0.008928571428571428
10044,0.9779156783363165,0.9910714285714286,0.008928571428571428
10045,0.9779156783363165,0.9910714285714286,0.008928571428571428
10046,0.9779156783363165,0.9910714285714286,0.008928571428571428
10047,0.9779156783363165,0.9910714285714286,0.008928571428571428
10048,0.9779156783363165,0.9910714285714286,0.008928571428571428
10049,0.9779156783363165,0.9910714285714286,0.008928571428571428
10050,0.9779156783363165,0.9910714285714286,0.008928571428571428
10051,0.9779156783363165,0.9910714285714286,0.008928571428571428
10052,0.9779156783363165,0.9910714285714286,0.008928571428571428
10053,0.9779156783363165,0.9910714285714286,0.008928571428571428
10054,0.9779156783363165,0.9910714285714286,0.008928571428571428
10055,0.9779156783363165,0.9910714285714286,0.008928571428571428
10056,0.9779156783363165,0.9910714285714286,0.008928571428571428
10057,0.9779156783363165,0.9910714285714286,0.008928571428571428
10058,0.9779156783363165,0.9910714285714286,0.008928571428571428
10059,0.9779156783363165,0.9910714285714286,0.008928571428571428
10060,0.9779156783363165,0.9910714285714286,0.008928571428571428
10061,0.9779156783363165,0.9910714285714286,0.008928571428571428
10062,0.9779156783363165,0.9910714285714286,0.008928571428571428
10063,0.9779156783363165,0.9910714285714286,0.008928571428571428
10064,0.9779156783363165,0.9910714285714286,0.008928571428571428
10065,0.9779156783363165,0.9910714285714286,0.008928571428571428
10066,0.9779156783363165,0.9910714285714286,0.008928571428571428
10067,0.9779156783363165,0.9910714285714286,0.008928571428571428
10068,0.9779156783363165,0.9910714285714286,0.008928571428571428
10069,0.9779156783363165,0.9910714285714286,0.008928571428571428
10070,0.9779156783363165,0.9910714285714286,0.008928571428571428
10071,0.9779156783363165,0.9910714285714286,0.008928571428571428
10072,0.9779156783363165,0.9910714285714286,0.008928571428571428
10073,0.9779156783363165,0.9910714285714286,0.008928571428571428
10074,0.9779156783363165,0.9910714285714286,0.008928571428571428
10075,0.9779156783363165,0.9910714285714286,0.008928571428571428
10076,0.9779156783363165,0.9910714285714286,0.008928571428571428
10077,0.9779156783363165,0.9910714285714286,0.008928571428571428
10078,0.9779156783363165,0.9910714285714286,0.008928571428571428
10079,0.9779156783363165,0.9910714285714286,0.008928571428571428
10080,0.9779156783363165,0.9910714285714286,0.008928571428571428
10081,0.9779156783363165,0.9910714285714286,0.008928571428571428
10082,0.9779156783363165,0.9910714285714286,0.008928571428571428
10083,0.9779156783363165,0.9910714285714286,0.008928571428571428
10084,0.9779156783363165,0.9910714285714286,0.008928571428571428
10085,0.9779156783363165,0.9910714285714286,0.008928571428571428
10086,0.9779156783363165,0.9910714285714286,0.008928571428571428
10087,0.9779156783363165,0.9910714285714286,0.008928571428571428
10088,0.9779156783363165,0.9910714285714286,0.008928571428571428
10089,0.9779156783363165,0.9910714285714286,0.008928571428571428
10090,0.9779156783363165,0.9910714285714286,0.008928571428571428
10091,0.9779156783363165,0.9910714285714286,0.008928571428571428
10092,0.9779156783363165,0.9910714285714286,0.008928571428571428
10093,0.9779156783363165,0.9910714285714286,0.008928571428571428
10094,0.9779156783363165,0.9910714285714286,0.008928571428571428
10095,0.9779156783363165,0.9910714285714286,0.008928571428571428
10096,0.9779156783363165,0.9910714285714286,0.008928571428571428
10097,0.9779156783363165,0.9910714285714286,0.008928571428571428
10098,0.9779156783363165,0.9910714285714286,0.008928571428571428
10099,0.9779156783363165,0.9910714285714286,0.008928571428571428
10100,0.9779156783363165,0.9910714285714286,0.008928571428571428
10101,0.9779156783363165,0.9910714285714286,0.008928571428571428
10102,0.9779156783363165,0.9910714285714286,0.008928571428571428
10103,0.9779156783363165,0.9910714285714286,0.008928571428571428
10104,0.9779156783363165,0.9910714285714286,0.008928571428571428
10105,0.9779156783363165,0.9910714285714286,0.008928571428571428
10106,0.9779156783363165,0.9910714285714286,0.008928571428571428
10107,0.9779156783363165,0.9910714285714286,0.008928571428571428
10108,0.9779156783363165,0.9910714285714286,0.008928571428571428
10109,0.9779156783363165,0.9910714285714286,0.008928571428571428
10110,0.9779156783363165,0.9910714285714286,0.008928571428571428
10111,0.9779156783363165,0.9910714285714286,0.008928571428571428
10112,0.9779156783363165,0.9910714285714286,0.008928571428571428
10113,0.9779171325857844,0.9910714285714286,0.008928571428571428
10114,0.9779171325857844,0.9910714285714286,0.008928571428571428
10115,0.9779171325857844,0.9910714285714286,0.008928571428571428
10116,0.9779171325857844,0.9910714285714286,0.008928571428571428
10117,0.9779171325857844,0.9910714285714286,0.008928571428571428
10118,0.9779171325857844,0.9910714285714286,0.008928571428571428
10119,0.9779171325857844,0.9910714285714286,0.008928571428571428
10120,0.9779171325857844,0.9910714285714286,0.008928571428571428
10121,0.9779171325857844,0.9910714285714286,0.008928571428571428
10122,0.9779171325857844,0.9910714285714286,0.008928571428571428
10123,0.9779171325857844,0.9910714285714286,0.008928571428571428
10124,0.9779171325857844,0.9910714285714286,0.008928571428571428
10125,0.9779171325857844,0.9910714285714286,0.008928571428571428
10126,0.9779171325857844,0.9910714285714286,0.008928571428571428
10127,0.9779171325857844,0.9910714285714286,0.008928571428571428
10128,0.9779171325857844,0.9910714285714286,0.008928571428571428
10129,0.9779171325857844,0.9910714285714286,0.008928571428571428
10130,0.9779171325857844,0.9910714285714286,0.008928571428571428
10131,0.9779171325857844,0.9910714285714286,0.008928571428571428
10132,0.9779171325857844,0.9910714285714286,0.008928571428571428
10133,0.9779171325857844,0.9910714285714286,0.008928571428571428
10134,0.9779171325857844,0.9910714285714286,0.008928571428571428
10135,0.9779171325857844,0.9910714285714286,0.008928571428571428
10136,0.9779171325857844,0.9910714285714286,0.008928571428571428
10137,0.9779171325857844,0.9910714285714286,0.008928571428571428
10138,0.9779171325857844,0.9910714285714286,0.008928571428571428
10139,0.9779171325857844,0.9910714285714286,0.008928571428571428
10140,0.9779171325857844,0.9910714285714286,0.008928571428571428
10141,0.9779171325857844,0.9910714285714286,0.008928571428571428
10142,0.9779171325857844,0.9910714285714286,0.008928571428571428
10143,0.9779171325857844,0.9910714285714286,0.008928571428571428
10144,0.9779171325857844,0.9910714285714286,0.008928571428571428
10145,0.9779171325857844,0.9910714285714286,0.008928571428571428
10146,0.9779171325857844,0.9910714285714286,0.008928571428571428
10147,0.9779171325857844,0.9910714285714286,0.008928571428571428
10148,0.9779171325857844,0.9910714285714286,0.008928571428571428
10149,0.9779171325857844,0.9910714285714286,0.008928571428571428
10150,0.9779171325857844,0.9910714285714286,0.008928571428571428
10151,0.9779171325857844,0.9910714285714286,0.008928571428571428
10152,0.9779171325857844,0.9910714285714286,0.008928571428571428
10153,0.9779171325857844,0.9910714285714286,0.008928571428571428
10154,0.9779171325857844,0.9910714285714286,0.008928571428571428
10155,0.9779171325857844,0.9910714285714286,0.008928571428571428
10156,0.9779171325857844,0.9910714285714286,0.008928571428571428
10157,0.9779171325857844,0.9910714285714286,0.008928571428571428
10158,0.9779171325857844,0.9910714285714286,0.008928571428571428
10159,0.9779171325857844,0.9910714285714286,0.008928571428571428
10160,0.9779171325857844,0.9910714285714286,0.008928571428571428
10161,0.9779171325857844,0.9910714285714286,0.008928571428571428
10162,0.9779171325857844,0.9910714285714286,0.008928571428571428
10163,0.9779185903521795,0.9910714285714286,0.008928571428571428
10164,0.9779185903521795,0.9910714285714286,0.008928571428571428
10165,0.9779185903521795,0.9910714285714286,0.008928571428571428
10166,0.9779185903521795,0.9910714285714286,0.008928571428571428
10167,0.9779185903521795,0.9910714285714286,0.008928571428571428
10168,0.9779185903521795,0.9910714285714286,0.008928571428571428
10169,0.9779185903521795,0.9910714285714286,0.008928571428571428
10170,0.9779185903521795,0.9910714285714286,0.008928571428571428
10171,0.9779185903521795,0.9910714285714286,0.008928571428571428
10172,0.9779185903521795,0.9910714285714286,0.008928571428571428
10173,0.9779185903521795,0.9910714285714286,0.008928571428571428
10174,0.9779185903521795,0.9910714285714286,0.008928571428571428
10175,0.9779185903521795,0.9910714285714286,0.008928571428571428
10176,0.9779185903521795,0.9910714285714286,0.008928571428571428
10177,0.9779185903521795,0.9910714285714286,0.008928571428571428
10178,0.9779185903521795,0.9910714285714286,0.008928571428571428
10179,0.9779185903521795,0.9910714285714286,0.008928571428571428
10180,0.9779185903521795,0.9910714285714286,0.008928571428571428
10181,0.9779185903521795,0.9910714285714286,0.008928571428571428
10182,0.9779185903521795,0.9910714285714286,0.008928571428571428
10183,0.9779185903521795,0.9910714285714286,0.008928571428571428
10184,0.9779185903521795,0.9910714285714286,0.008928571428571428
10185,0.9779185903521795,0.9910714285714286,0.008928571428571428
