t,PH_alarm,DDM_alarm,ADWIN_alarm,error,prob
16131,0,0,0,0.0,1e-06
16132,0,0,0,0.0,1e-06
16133,0,0,0,0.0,1e-06
16134,0,0,0,0.0,1e-06
16135,0,0,0,0.0,1e-06
16136,0,0,0,0.0,1e-06
16137,0,0,0,0.0,1e-06
16138,0,0,0,0.0,1e-06
16139,0,0,0,0.0,1e-06
16140,0,0,0,0.0,1e-06
16141,0,0,0,0.0,1e-06
16142,0,0,0,0.0,1e-06
16143,0,0,0,0.0,1e-06
16144,0,0,0,0.0,1e-06
16145,0,0,0,0.0,1e-06
16146,0,0,0,0.0,1e-06
16147,0,0,0,0.0,1e-06
16148,0,0,0,0.0,1e-06
16149,0,0,0,0.0,1e-06
16150,0,0,0,0.0,1e-06
16151,0,0,0,0.0,1e-06
16152,0,0,0,0.0,1e-06
16153,0,0,0,0.0,1e-06
16154,0,0,0,0.0,1e-06
16155,0,0,0,0.0,1e-06
16156,0,0,0,0.0,1e-06
16157,0,0,0,0.0,1e-06
16158,0,0,0,0.0,1e-06
16159,0,0,0,0.0,1e-06
16160,0,0,0,0.0,1e-06
16161,0,0,0,0.0,1e-06
16162,0,0,0,0.0,1e-06
16163,0,0,0,0.0,1e-06
16164,0,0,0,0.0,1e-06
16165,0,0,0,0.0,1e-06
16166,0,0,0,0.0,1e-06
16167,0,0,0,0.0,1e-06
16168,0,0,0,0.0,1e-06
16169,0,0,0,0.0,1e-06
16170,0,0,0,0.0,1e-06
16171,0,0,0,0.0,1e-06
16172,0,0,0,0.0,1e-06
16173,0,0,0,0.0,1e-06
16174,0,0,0,0.0,1e-06
16175,0,0,0,0.0,1e-06
16176,0,0,0,0.0,1e-06
16177,0,0,0,0.0,1e-06
16178,0,0,0,0.0,1e-06
16179,0,0,0,0.0,1e-06
16180,0,0,0,0.0,1e-06
16181,0,0,0,0.0,1e-06
16182,0,0,0,0.0,1e-06
16183,0,0,0,0.0,1e-06
16184,0,0,0,0.0,1e-06
16185,0,0,0,0.0,1e-06
16186,0,0,0,0.0,1e-06
16187,0,0,0,0.0,1e-06
16188,0,0,0,0.0,1e-06
16189,0,0,0,0.0,1e-06
16190,0,0,0,0.0,1e-06
16191,0,0,0,0.0,1e-06
16192,0,0,0,0.0,1e-06
16193,0,0,0,0.0,1e-06
16194,0,0,0,0.0,1e-06
16195,0,0,0,0.0,1e-06
16196,0,0,0,0.0,1e-06
16197,0,0,0,0.0,1e-06
16198,0,0,0,0.0,1e-06
16199,0,0,0,0.0,1e-06
16200,0,0,0,0.0,1e-06
16201,0,0,0,0.0,1e-06
16202,0,0,0,0.0,1e-06
16203,0,0,0,0.0,0.029197080291970805
16204,0,0,0,0.0,1e-06
16205,0,0,0,0.0,1e-06
16206,0,0,0,0.0,1e-06
16207,0,0,0,0.0,1e-06
16208,0,0,0,0.0,1e-06
16209,0,0,0,0.0,1e-06
16210,0,0,0,0.0,1e-06
16211,0,0,0,0.0,1e-06
16212,0,0,0,0.0,1e-06
16213,0,0,0,0.0,1e-06
16214,0,0,0,0.0,1e-06
16215,0,0,0,0.0,1e-06
16216,0,0,0,0.0,1e-06
16217,0,0,0,0.0,1e-06
16218,0,0,0,0.0,1e-06
16219,0,0,0,0.0,1e-06
16220,0,0,0,0.0,1e-06
16221,0,0,0,0.0,1e-06
16222,0,0,0,0.0,1e-06
16223,0,0,0,0.0,1e-06
16224,0,0,0,0.0,1e-06
16225,0,0,0,0.0,1e-06
16226,0,0,0,0.0,1e-06
16227,0,0,0,0.0,1e-06
16228,0,0,0,0.0,1e-06
16229,0,0,0,0.0,1e-06
16230,0,0,0,0.0,1e-06
16231,0,0,0,0.0,1e-06
16232,0,0,0,0.0,1e-06
16233,0,0,0,0.0,1e-06
16234,0,0,0,0.0,1e-06
16235,0,0,0,0.0,1e-06
16236,0,0,0,0.0,1e-06
16237,0,0,0,0.0,1e-06
16238,0,0,0,0.0,1e-06
16239,0,0,0,0.0,1e-06
16240,0,0,0,0.0,1e-06
16241,0,0,0,0.0,1e-06
16242,0,0,0,0.0,1e-06
16243,0,0,0,0.0,1e-06
16244,0,0,0,0.0,1e-06
16245,0,0,0,0.0,1e-06
16246,0,0,0,0.0,1e-06
16247,0,0,0,0.0,1e-06
16248,0,0,0,0.0,1e-06
16249,0,0,0,0.0,1e-06
16250,0,0,0,0.0,1e-06
16251,0,0,0,0.0,1e-06
16252,0,0,0,0.0,1e-06
16253,0,0,0,0.0,1e-06
16254,0,0,0,0.0,1e-06
16255,0,0,0,0.0,1e-06
16256,0,0,0,0.0,1e-06
16257,0,0,0,0.0,1e-06
16258,0,0,0,0.0,1e-06
16259,0,0,0,0.0,1e-06
16260,0,0,0,0.0,1e-06
16261,0,0,0,0.0,1e-06
16262,0,0,0,0.0,1e-06
16263,0,0,0,0.0,1e-06
16264,0,0,0,0.0,1e-06
16265,0,0,0,0.0,1e-06
16266,0,0,0,0.0,1e-06
16267,0,0,0,0.0,1e-06
16268,0,0,0,0.0,1e-06
16269,0,0,0,0.0,1e-06
16270,0,0,0,0.0,1e-06
16271,0,0,0,0.0,1e-06
16272,0,0,0,0.0,1e-06
16273,0,0,0,0.0,1e-06
16274,0,0,0,0.0,1e-06
16275,0,0,0,0.0,1e-06
16276,0,0,0,0.0,1e-06
16277,0,0,0,0.0,1e-06
16278,0,0,0,0.0,1e-06
16279,0,0,0,0.0,1e-06
16280,0,0,0,0.0,1e-06
16281,0,0,0,0.0,1e-06
16282,0,0,0,0.0,1e-06
16283,0,0,0,0.0,1e-06
16284,0,0,0,0.0,1e-06
16285,0,0,0,0.0,1e-06
16286,0,0,0,0.0,1e-06
16287,0,0,0,0.0,1e-06
16288,0,0,0,0.0,1e-06
16289,0,0,0,0.0,1e-06
16290,0,0,0,0.0,1e-06
16291,0,0,0,0.0,1e-06
16292,0,0,0,0.0,1e-06
16293,0,0,0,0.0,1e-06
16294,0,0,0,0.0,1e-06
16295,0,0,0,0.0,1e-06
16296,0,0,0,0.0,1e-06
16297,0,0,0,0.0,1e-06
16298,0,0,0,0.0,1e-06
16299,0,0,0,0.0,1e-06
16300,0,0,0,0.0,1e-06
16301,0,0,0,0.0,1e-06
16302,0,0,0,0.0,1e-06
16303,0,0,0,0.0,1e-06
16304,0,0,0,0.0,1e-06
16305,0,0,0,0.0,1e-06
16306,0,0,0,0.0,1e-06
16307,0,0,0,0.0,1e-06
16308,0,0,0,0.0,1e-06
16309,0,0,0,0.0,1e-06
16310,0,0,0,0.0,1e-06
16311,0,0,0,0.0,1e-06
16312,0,0,0,0.0,1e-06
16313,0,0,0,0.0,1e-06
16314,0,0,0,0.0,1e-06
16315,0,0,0,0.0,1e-06
16316,0,0,0,0.0,1e-06
16317,0,0,0,0.0,1e-06
16318,0,0,0,0.0,1e-06
16319,0,0,0,0.0,1e-06
16320,0,0,0,0.0,1e-06
16321,0,0,0,0.0,1e-06
16322,0,0,0,0.0,1e-06
16323,0,0,0,0.0,1e-06
16324,0,0,0,0.0,1e-06
16325,0,0,0,0.0,1e-06
16326,0,0,0,0.0,1e-06
16327,0,0,0,0.0,1e-06
16328,0,0,0,0.0,1e-06
16329,0,0,0,0.0,1e-06
16330,0,0,0,0.0,1e-06
16331,0,0,0,0.0,1e-06
16332,0,0,0,0.0,1e-06
16333,0,0,0,0.0,1e-06
16334,0,0,0,0.0,1e-06
16335,0,0,0,0.0,1e-06
16336,0,0,0,0.0,1e-06
16337,0,0,0,0.0,1e-06
16338,0,0,0,0.0,1e-06
16339,0,0,0,0.0,1e-06
16340,0,0,0,0.0,1e-06
16341,0,0,0,0.0,1e-06
16342,0,0,0,0.0,1e-06
16343,0,0,0,0.0,1e-06
16344,0,0,0,0.0,1e-06
16345,0,0,0,0.0,1e-06
16346,0,0,0,0.0,1e-06
16347,0,0,0,0.0,1e-06
16348,0,0,0,0.0,1e-06
16349,0,0,0,0.0,1e-06
16350,0,0,0,0.0,1e-06
16351,0,0,0,0.0,1e-06
16352,0,0,0,0.0,1e-06
16353,0,0,0,0.0,1e-06
16354,0,0,0,0.0,1e-06
16355,0,0,0,0.0,1e-06
16356,0,0,0,0.0,1e-06
16357,0,0,0,0.0,1e-06
16358,0,0,0,0.0,1e-06
16359,0,0,0,0.0,1e-06
16360,0,0,0,0.0,1e-06
16361,0,0,0,0.0,1e-06
16362,0,0,0,0.0,1e-06
16363,0,0,0,0.0,1e-06
16364,0,0,0,0.0,1e-06
16365,0,0,0,0.0,1e-06
16366,0,0,0,0.0,1e-06
16367,0,0,0,0.0,1e-06
16368,0,0,0,0.0,1e-06
16369,0,0,0,0.0,1e-06
16370,0,0,0,0.0,1e-06
16371,0,0,0,0.0,1e-06
16372,0,0,0,0.0,1e-06
16373,0,0,0,0.0,1e-06
16374,0,0,0,0.0,1e-06
16375,0,0,0,0.0,1e-06
16376,0,0,0,0.0,1e-06
16377,0,0,0,0.0,1e-06
16378,0,0,0,0.0,1e-06
16379,0,0,0,0.0,1e-06
16380,0,0,0,0.0,1e-06
16381,0,0,0,0.0,1e-06
16382,0,0,0,0.0,1e-06
16383,0,0,0,0.0,1e-06
16384,0,0,0,0.0,1e-06
