Tag rete,Ikssmin [kA],Sgn_eff [MVA],H [s],Generatore,Out_of_step
100,3,5.599999904632568,0.1,GR1,0.0
100,3,5.599999904632568,0.2,GR1,0.0
100,3,5.599999904632568,0.3,GR1,0.0
100,3,5.599999904632568,0.4,GR1,0.0
100,3,5.599999904632568,0.5,GR1,0.0
100,3,5.599999904632568,0.6,GR1,0.0
100,3,5.599999904632568,0.7,GR1,0.0
100,3,5.599999904632568,0.8,GR1,0.0
100,3,5.599999904632568,0.9,GR1,0.0
100,3,5.599999904632568,1.0,GR1,0.0
100,3,5.599999904632568,1.1,GR1,0.0
