Tag rete,Ikssmin [kA],Sgn_eff [MVA],H [s],Generatore,Out_of_step,_VRT,min_diff,Output
100,3,2.09999990463257,0.3,GR1,0,0,0.00110800120422738,OK
100,3,2.09999990463257,0.4,GR1,0,0,0.000887867429352873,OK
100,3,2.09999990463257,0.5,GR1,0,0,0.000830504187060987,OK
100,3,2.09999990463257,0.6,GR1,0,0,0.000809464381251845,OK
100,3,2.09999990463257,0.7,GR1,0,0,0.000792640131774491,OK
100,3,2.09999990463257,0.8,GR1,0,0,0.000774160471056384,OK
100,3,2.09999990463257,0.9,GR1,0,0,0.000764108226601223,OK
100,3,2.09999990463257,1,GR1,0,0,0.000759557355329177,OK
100,3,2.09999990463257,1.1,GR1,0,0,0.00076211521385916,OK
100,3,2.09999990463257,1.2,GR1,0,0,0.000771747874796169,OK
100,3,2.09999990463257,1.3,GR1,0,0,0.00078121497850947,OK
100,3,2.09999990463257,1.4,GR1,0,0,0.000784300246741476,OK
100,3,2.09999990463257,1.5,GR1,0,0,0.000777849574411182,OK
100,3,2.09999990463257,1.6,GR1,0,0,0.000765839154925119,OK
100,3,2.09999990463257,1.7,GR1,0,0,0.000754711588014656,OK
100,3,2.09999990463257,1.8,GR1,0,0,0.000752087751918484,OK
100,3,2.09999990463257,1.9,GR1,0,0,0.000762575537230248,OK
100,3,2.09999990463257,2,GR1,0,0,0.000784530089791957,OK
100,3,2.09999990463257,2.1,GR1,0,0,0.000817887864488331,OK
100,3,2.09999990463257,2.2,GR1,0,0,0.000860847288273847,OK
100,3,2.09999990463257,2.3,GR1,0,0,0.000910858790268088,OK
100,3,2.09999990463257,2.4,GR1,0,0,0.000963694608013266,OK
100,3,2.09999990463257,2.5,GR1,0,0,0.00101739793933098,OK
100,3,2.09999990463257,2.6,GR1,0,0,0.00106915463002322,OK
100,3,2.09999990463257,2.7,GR1,0,0,0.00111355042535555,OK
100,3,2.09999990463257,2.8,GR1,0,0,0.00114829011467754,OK
100,3,2.09999990463257,2.9,GR1,0,0,0.00116927528753519,OK
100,3,2.09999990463257,3,GR1,0,0,0.00117443447304211,OK
100,3,2.09999990463257,3.1,GR1,0,0,0.00116315715490933,OK
100,3,2.09999990463257,3.2,GR1,0,0,0.00113755134053561,OK
100,3,2.09999990463257,3.3,GR1,0,0,0.00110096612828814,OK
100,3,2.09999990463257,3.4,GR1,0,0,0.00105574863863989,OK
100,3,2.09999990463257,3.5,GR1,0,0,0.00100615232298407,OK
100,3,2.09999990463257,3.6,GR1,0,0,0.000954640002737372,OK
100,3,2.09999990463257,3.7,GR1,0,0,0.000902783653051853,OK
100,3,2.09999990463257,3.8,GR1,0,0,0.000852087091797404,OK
100,3,2.09999990463257,3.9,GR1,0,0,0.00080396861393417,OK
100,3,2.09999990463257,4,GR1,0,0,0.000760206625473714,OK
100,3,2.09999990463257,4.1,GR1,0,0,0.000720881494508996,OK
100,3,2.09999990463257,4.2,GR1,0,0,0.000684927577758399,OK
100,3,2.09999990463257,4.3,GR1,0,0,0.000653992644052637,OK
100,3,2.09999990463257,4.4,GR1,0,0,0.000629426987606596,OK
100,3,2.09999990463257,4.5,GR1,0,0,0.000608521715431687,OK
100,3,2.09999990463257,4.6,GR1,0,0,0.00059489158774706,OK
100,3,2.09999990463257,4.7,GR1,0,0,0.00058413462802076,OK
100,3,2.09999990463257,4.8,GR1,0,0,0.000576614424993016,OK
100,3,2.09999990463257,4.9,GR1,0,0,0.000571610741064155,OK
100,3,2.09999990463257,5,GR1,0,0,0.000568965873579463,OK
100,3,2.59999990463257,0.1,GR1,0,1,-0.00156709805615241,OK
100,3,2.59999990463257,0.2,GR1,0,1,-0.00157314724045166,OK
100,3,2.59999990463257,0.3,GR1,0,1,-0.00157217393053366,OK
100,3,2.59999990463257,0.4,GR1,0,1,-0.0015690223824677,OK
100,3,2.59999990463257,0.5,GR1,0,1,-0.00156498054198728,OK
100,3,2.59999990463257,0.6,GR1,0,1,-0.00156075802980404,OK
100,3,2.59999990463257,0.7,GR1,0,1,-0.0015548398220514,OK
100,3,2.59999990463257,0.8,GR1,0,1,-0.00154853481075612,OK
100,3,2.59999990463257,0.9,GR1,0,1,-0.00154323925101563,OK
100,3,2.59999990463257,1,GR1,0,1,-0.00154101564557363,OK
100,3,2.59999990463257,1.1,GR1,0,1,-0.00154573576693928,OK
100,3,2.59999990463257,1.2,GR1,0,1,-0.00155610110958337,OK
100,3,2.59999990463257,1.3,GR1,0,1,-0.0015637821457859,OK
100,3,2.59999990463257,1.4,GR1,0,1,-0.00155844533167404,OK
100,3,2.59999990463257,1.5,GR1,0,1,-0.00153652346048028,OK
100,3,2.59999990463257,1.6,GR1,0,1,-0.00150241697503595,OK
100,3,2.59999990463257,1.7,GR1,0,1,-0.00145778793064733,OK
100,3,2.59999990463257,1.8,GR1,0,1,-0.00140779234790922,OK
100,3,2.59999990463257,1.9,GR1,0,1,-0.00135980432861749,OK
